source,target,translation
tom đổ lỗi cho tôi về mọi thứ,Tom blamed me for everything,tom blames me for everything
đây là lần đầu tiên của tôi.,This is my first time.,this is my first time .
bạn là bác sĩ phải không?,"You're a doctor, right?","you're a doctor , aren't you ?"
anh ta không thể giữ bí mật với chính mình,He cannot keep a secret to himself,he can't keep it a secret to himself
vị này giống như trái cây đam mê,This tastes like passion fruit,this tastes like passion fruit
chúng ta hãy đợi đến sáu giờ,Let's wait until six o'clock,let's wait till six o'clock
tôi có thể nghe thấy tom,I can hear Tom,i can hear tom
từ điển này là gần như vô dụng.,This dictionary is nearly useless.,this dictionary is almost useless .
chúng tôi có khá nhiều việc phải làm.,We have quite a lot of work do.,we have quite a lot of work to do .
Anh ấy thích câu cá,He likes fishing,he likes fishing
chúng tôi thiên vị.,We're biased.,we're biased .
Mẹ luôn khóc khi nghe những bài hát buồn.,Mother always cries when she listens to sad songs.,mother always cries when she hears sad songs .
tôi sẽ đi khuyến khích anh ấy,I will go to encourage him,i'll go encourage him
Tôi đã quên mất tôi thích tom như thế nào.,I'd forgotten how much I liked Tom.,i've forgotten how much i like tom .
tôi không muốn bạn tham gia,I don't want you involved,i don't want you involved
Cả tom và mary đều không biết john đang nói về cái gì,Tom and Mary both had no idea what John was talking about,tom and mary both don't know what john is talking about
thậm chí một đứa trẻ có thể hiểu nó,Even a child can understand it,even a child can understand it
Tôi thích cái áo của bạn,I like your shirt,i like your shirt .
Tôi sẽ bảo tom gọi cho bạn ngay khi anh ấy vào.,I'll tell Tom to call you as soon as he gets in.,i'll tell tom to call you as soon as he gets in .
tôi không nghĩ chúng ta nên đi loanh quanh,I don't think we should hang around,i don't think we should hang around
tôi không chắc chắn khi nào anh ấy sẽ trở lại.,I am not sure when he will be back.,i'm not sure when he'll come back .
tom và mary nói về thể thao,Tom and Mary talked about sports,tom and mary talked about sports
công việc của tom thật cẩu thả,Tom's work is sloppy,tom's job was sloppy
đừng quay lại với lời hứa của bạn,Don't go back on your promise,don't go back with your promise
bạn đang làm gì muộn thế này,What are you doing up this late?,what are you doing up this late ?
"này, đừng làm thế","Hey, don't do that!","hey , don't do it ."
ngày càng mát mẻ hơn,It's getting cooler day by day,the more cool day is cooler
Có bao nhiêu chuyến bay đến osaka bạn cung cấp một ngày?,How many flights to Osaka do you offer a day?,how many flights to osaka do you offer a day ?
anh ấy học chăm chỉ hơn bất kỳ học sinh nào khác trong lớp,He studies harder than any other student does in his class,he studies harder than any other student in his class
Anh ấy đang bơi trên sông.,He is swimming in the river.,he is swimming in the river .
hãy thử xem,Let's have a try.,let's try to see
chúng ta có bao lâu rồi,How long have we got?,how long have we got ?
Tôi nghĩ rằng tôi đã làm một cái gì đó thực sự ngu ngốc.,I think I did something really stupid.,i think i did something really stupid .
Tôi sẽ được điều trị bằng cách nào?,What kind of treatment will I get?,how will i be treated ?
binh lính đã quen với nguy hiểm,Soldiers are used to danger,soldiers are accustomed to danger
Tom sẽ không làm phiền bạn nữa,Tom won't be bothering you anymore,tom won't bother you anymore
cái bàn này giống cái bàn kia,This table is the same as that one.,this desk is like that one of the other one
tôi không bao giờ ăn thịt lợn,I never eat meat,i never eat pork
điều này đang trở nên mệt mỏi,This is getting tiresome,this is getting tiresome
tôi muốn gặp bạn,I'd like to see you,i want to see you .
tôi sẽ làm việc đầu tiên vào buổi sáng,I'll do it first thing in the morning,i'll be working first in the morning
bạn sẽ hâm nóng súp?,Will you warm up the soup?,will you heat the soup ?
đừng rời đi mà không nói lời tạm biệt.,Don't leave without saying goodbye.,don't leave without saying goodbye .
Đây có phải là máy khoan không?,Is this a drill?,is this a drill ?
cô ấy rất tự hào về bộ sưu tập tem của mình,She takes great pride in her stamp collection,she is very proud of her stamp collection
anh ấy có tiếng là liêm chính,He has a reputation for integrity,he has a reputation of <UNK>
tôi nghĩ tom đang giấu tôi điều gì đó,I think Tom is hiding something from me,i think tom is hiding something from me
Tôi đã không ăn từ bữa sáng.,I haven't eaten since breakfast.,i didn't eat from breakfast .
tôi cũng có thể rời đi hôm nay,I might as well leave today,i might as well leave today
tôi hy vọng chuyến đi kinh doanh của bạn đến Pháp đã thành công.,I hope your business trip to France was successful.,i hope your business trip to france was successful .
Tom nấu bữa tối.,Tom cooked dinner.,tom cooked dinner .
chúng tôi không đói,We're not hungry,we're not hungry
anh ấy nghe nhạc trong phòng,He listened to music in his room,he listened to music in his room
Bạn có muốn bất kỳ cuốn sách này?,Do you want any of these books?,would you like any of this book ?
họ sợ hãi,They're scared.,they're frightened
tôi thấy nó ở đằng kia,I saw it over there.,i saw it over there
"""các nhà khoa học gần để nhân bản một con người?"" ""không phải bằng một cú sút xa.""","""Are scientists close to cloning a human being?""  ""Not by a long shot.""","""are scientists close to cloning a human ? "" ""not by a long shot . """
tôi sẽ đến paris vào ngày mai,I am leaving for Paris tomorrow,i'm going to paris tomorrow
tom sẽ không làm gì cả,Tom will do nothing,tom won't do anything
Người cảnh sát đi theo anh ta.,The policeman followed him.,the policeman followed him .
