source,target,translation
They worked through the night,họ làm việc suốt đêm,họ làm việc suốt đêm
My knife is broken,con dao của tôi bị hỏng,con dao của tôi bị hỏng
I hope that Japan will abide by Article 9 of her Constitution,tôi hy vọng rằng Nhật Bản sẽ tuân thủ điều 9 trong hiến pháp của cô ấy,tôi hy vọng rằng nhật bản sẽ tuân thủ 9 bài thuyết 9 của cô ấy
How did you get to know him?,Làm thế nào bạn biết anh ấy?,làm thế nào bạn biết anh ấy ?
Tom asked Mary what to do next.,Tom hỏi mary phải làm gì tiếp theo.,tom hỏi mary phải làm gì tiếp theo .
"Every year, millions of people die of hunger in Africa.","mỗi năm, hàng triệu người chết vì đói ở châu Phi.","mỗi năm , hàng triệu người chết vì đói ở châu phi ."
I couldn't think of anything I'd enjoy more,tôi không thể nghĩ bất cứ điều gì tôi sẽ thích hơn,tôi không thể nghĩ bất cứ điều gì tôi sẽ thích nhiều hơn
I think my parents know,tôi nghĩ rằng bố mẹ tôi biết,tôi nghĩ bố mẹ tôi biết
I let him go,tôi để anh ấy đi,tôi để anh ấy đi
You should be careful with that.,bạn nên cẩn thận với điều đó,bạn nên cẩn thận với điều đó
The village was isolated by the heavy storm.,Ngôi làng bị cô lập bởi cơn bão lớn.,ngôi làng bị cô lập bởi cơn bão lớn .
You were the only one who knew where Tom went,bạn là người duy nhất biết tom đã đi đâu,bạn là người duy nhất biết tom đã đi đâu
I need to know exactly what happened.,tôi cần biết chính xác những gì đã xảy ra.,tôi cần biết chính xác những gì đã xảy ra .
I don't know where you live.,tôi không biết bạn sống ở đâu,tôi không biết bạn sống ở đâu
I know what I would do.,tôi biết tôi sẽ làm gì,tôi biết tôi sẽ làm gì
Tom didn't go home,tom không về nhà,tom không về nhà
When will we arrive in Boston?,khi nào chúng ta sẽ đến boston?,khi nào chúng ta sẽ đến boston ?
"Before you go hiking in the woods, find out what you should do when you meet a bear.","trước khi bạn đi leo núi trong rừng, hãy tìm hiểu những gì bạn nên làm khi gặp một con gấu.","trước khi bạn đi leo núi trong rừng , hãy tìm hiểu những gì bạn nên làm khi gặp một con gấu ."
We often express our emotions nonverbally,chúng ta thường thể hiện cảm xúc của mình bằng lời nói,chúng tôi thường thể hiện cảm xúc của mình bằng cách vô tư
We've been friends ever since.,chúng tôi đã là bạn từ bao giờ,chúng tôi đã là bạn từ đó
I went to the hospital to see my wife,tôi đã đến bệnh viện để gặp vợ tôi,tôi đã đến bệnh viện để gặp vợ tôi
That was abrupt,đó là đột ngột,đó là đột ngột
I thought this was what you always wanted,tôi nghĩ rằng đây là những gì bạn luôn muốn,tôi nghĩ đây là những gì bạn luôn muốn
Sheriff Wyatt Earp talked to that old trapper yesterday,cảnh sát trưởng wyatt đã nói chuyện với người bẫy cũ ngày hôm qua,cảnh sát trưởng <UNK> đã nói chuyện với người bẫy cũ ngày hôm qua
I met him on my way to school,tôi gặp anh ấy trên đường đến trường,tôi gặp anh ấy trên đường đến trường
"Go on Tom, drink it","tiếp tục đi, uống đi","tiếp tục đi , uống nó"
They relaxed.,họ thư giãn.,họ thư giãn .
I was alone,tôi đã một mình,tôi đã ở một mình
Is this acceptable?,điều này có chấp nhận được không?,điều này được chấp nhận ?
